bus,vm,va,vmin,vmax
11,1.0420940868842576,-1.3984444719999551,0.94,1.06
7,1.0494174103596488,0.6821737326061141,0.94,1.06
9,1.0414443867409693,-2.4868109550315545,0.94,1.06
10,1.0345277893431066,-2.4311009948267692,0.94,1.06
8,1.0549202603860182,9.837782324520944,0.94,1.06
6,1.06,-2.1467899268871987e-31,0.94,1.06
4,1.0569864393259196,-4.085729464446326,0.94,1.06
5,1.0164736050388585,2.0602882232395814,0.94,1.06
13,1.0336069033181396,-1.4612288254845642,0.94,1.06
14,1.013940699548267,-3.391067456003555,0.94,1.06
12,1.040551596917715,-1.243538115805599,0.94,1.06
