bus,vm,va,vmin,vmax
11,1.0339562236160311,-2.23382944086681,0.94,1.06
7,1.0374441363709006,-1.486738927105702,0.94,1.06
9,1.026654282005286,-4.465500603453219,0.94,1.06
10,1.020800711336984,-4.087124533157382,0.94,1.06
8,1.0433452588224572,7.879136296475936,0.94,1.06
6,1.06,-1.10100820682381e-33,0.94,1.06
4,1.0511296664436118,-6.833803858735683,0.94,1.06
5,1.0204098626065232,-0.510586803741781,0.94,1.06
13,1.0288670846937262,-1.8193513958364607,0.94,1.06
14,1.0009635758293751,-4.796740920301893,0.94,1.06
12,1.0381026745334432,-1.4718492743105387,0.94,1.06
