bus,vm,va,vmin,vmax
11,1.0494619114203334,-0.7244254202974206,0.94,1.06
7,1.0549783693648283,0.767747011683328,0.94,1.06
9,1.052320839440833,-1.0630010437056634,0.94,1.06
10,1.0461576859214046,-1.168257181933866,0.94,1.06
8,1.0514554363790871,2.6173411779133517,0.94,1.06
6,1.06,-3.9078233639073395e-32,0.94,1.06
4,1.0426902797234945,2.0370904824260077,0.94,1.06
5,1.009748190062105,5.66836150601443,0.94,1.06
13,1.0410962375251016,-1.0013724597322768,0.94,1.06
14,1.0293191306182512,-2.050178301547622,0.94,1.06
12,1.0455713426776883,-0.8892760861752161,0.94,1.06
