bus,vm,va,vmin,vmax
11,1.040713439035874,-1.5278131090998146,0.94,1.06
7,1.048596865685646,0.43778214320219844,0.94,1.06
9,1.039371692980148,-2.7669279612714144,0.94,1.06
10,1.0323466682652425,-2.6768231742004467,0.94,1.06
8,1.0552561208195816,9.59767543901905,0.94,1.06
6,1.06,-3.919731821867408e-32,0.94,1.06
4,1.0571796318875448,-4.283704436348574,0.94,1.06
5,1.0177513944518508,0.7346600667020894,0.94,1.06
13,1.0322828105655792,-1.5437493234519524,0.94,1.06
14,1.011158307686871,-3.643246757564419,0.94,1.06
12,1.039682958066771,-1.305812967868476,0.94,1.06
