subnet,f,fmin,fmax,min_v,max_v,avg_v,ngen_Qll,ngen_Qul,ngen,minQloss,maxQloss,n_negQloss,n_s_bound,max_ang_diff,min_ang_diff,nbranch,total_loss,cost,time_s,status,network
2,1.0,1.0,1.0,1.042826347248257,1.06,1.0526493344568884,0,1,3,-0.000977132786683682,1.338268165518297e-5,6,0,0.17506422309982902,-0.09809846594202092,7,0.013664783425406793,17206.026931842134,0.208285378,LOCALLY_INFEASIBLE,1
1,60.0,60.0,60.0,0.9611446296585103,1.06,1.0118769568371535,0,0,2,0.0011359215910801883,0.17402078589596057,0,0,6.929331721584262,-9.884798099957832,13,0.08586841486156635,17206.026931842134,0.208285378,LOCALLY_INFEASIBLE,1
2,2.0,2.0,2.0,1.0426897123803265,1.06,1.0526409563996162,0,1,3,-0.0019529229759332328,5.0763734833148e-5,6,0,0.2801674656880518,-0.0994005043202405,7,0.019972906483807076,17222.90391215682,0.664576061,LOCALLY_INFEASIBLE,2
1,60.0,60.0,60.0,0.9612372684154151,1.06,1.009376915937053,0,0,2,0.0011327232830876202,0.1782897173742513,0,0,6.9175546223523385,-10.168047667383243,13,0.08560564799664365,17222.90391215682,0.664576061,LOCALLY_INFEASIBLE,2
2,3.0,3.0,3.0,1.0424459027263062,1.06,1.0525862904408545,0,1,3,-0.0029255573526131423,7.613450071358718e-5,6,0,0.3311063965832406,-0.10140845892298044,7,0.01738840502215002,17217.806715122002,1.66957624,LOCALLY_INFEASIBLE,3
1,60.0,60.0,60.0,0.961776077968933,1.06,1.0128628743068149,0,0,2,0.001114243632776932,0.17389732067315822,0,0,6.849217561338787,-9.720850791378416,13,0.08408931148016728,17217.806715122002,1.66957624,LOCALLY_INFEASIBLE,3
2,4.0,4.0,4.0,1.0421896080000876,1.06,1.0525465735800412,0,1,3,-0.003896010539286357,0.00010148934895973238,6,0,0.38098156393572774,-0.10322264950266939,7,0.014746372304927216,17225.604259324376,0.72407876,LOCALLY_INFEASIBLE,4
1,60.0,60.0,60.0,0.9622364679539953,1.06,1.0127176483388487,0,0,2,0.0010986328074239372,0.17353506453054574,0,0,6.791108725251622,-9.805624439883546,13,0.08281108453568128,17225.604259324376,0.72407876,LOCALLY_INFEASIBLE,4
2,5.0,5.0,5.0,1.0419283477398456,1.06,1.052526292274975,0,1,3,-0.004864876677712057,0.00012682055286733496,6,0,0.4297695859697074,-0.10520560194722108,7,0.012593598578895644,17250.781249349347,0.159609303,LOCALLY_INFEASIBLE,5
1,60.0,60.0,60.0,0.962553620079574,1.06,1.0125935116285072,0,0,2,0.0010879750107652235,0.1739774058914193,0,0,6.7512332017151,-9.910528333759821,13,0.08193987662175985,17250.781249349347,0.159609303,LOCALLY_INFEASIBLE,5
2,6.0,6.0,6.0,1.041712895374372,1.06,1.052522421997654,0,1,3,-0.005831297531516275,0.00015212575903775227,6,0,0.47710499982767907,-0.10674925463798936,7,0.013763490879436839,17257.204709248326,1.386955933,LOCALLY_INFEASIBLE,6
1,60.0,60.0,60.0,0.962844520549522,1.06,1.0116605909638747,0,0,2,0.0010782657356481803,0.1736661445026373,0,0,6.714758813082496,-9.875776064252593,13,0.08114723474576543,17257.204709248326,1.386955933,LOCALLY_INFEASIBLE,6
2,7.0,7.0,7.0,1.0415333442517287,1.06,1.0525335682644197,0,1,3,-0.006795372429641622,0.00017740075094060948,6,0,0.5228494671512252,-0.10788218666915467,7,0.013979150182816105,17251.17338380172,0.702974749,LOCALLY_INFEASIBLE,7
1,60.0,60.0,60.0,0.9630851920756329,1.06,1.0123172846049906,0,0,2,0.0010702816399498982,0.17330731298463525,0,0,6.684659174834094,-9.769691770071018,13,0.08049618609213348,17251.17338380172,0.702974749,LOCALLY_INFEASIBLE,7
2,8.0,8.0,8.0,1.0413489274135017,1.06,1.0525512295605701,0,1,3,-0.007757589679855209,0.00020264442664746918,6,0,0.5673299869259404,-0.10875204438935247,7,0.014196420055899273,17247.042984682004,0.458901675,LOCALLY_INFEASIBLE,8
1,60.0,60.0,60.0,0.9632897405135836,1.06,1.0129412749132263,0,0,2,0.0010635287402048067,0.17358817667734294,0,0,6.65912419249787,-9.87540313933118,13,0.0799460556696414,17247.042984682004,0.458901675,LOCALLY_INFEASIBLE,8
2,9.0,9.0,9.0,1.0411163449707461,1.06,1.052473465424103,0,1,3,-0.00872511054531988,0.00022794298858047624,6,0,0.5880941817904947,-0.10172625037898289,7,0.01415117495921183,17218.757109559585,0.321719026,LOCALLY_INFEASIBLE,9
1,60.0,60.0,60.0,0.9633376048620738,1.06,1.013139883663575,0,0,2,0.0010619537024441942,0.17352125101295413,0,0,6.65315884114179,-9.866719651741727,13,0.07981782015336315,17218.757109559585,0.321719026,LOCALLY_INFEASIBLE,9
2,10.0,10.0,10.0,1.0408821648166113,1.06,1.0523888824219676,0,1,3,-0.009691493351290784,0.00025324167246223994,6,0,0.608122805691101,-0.09408627471217725,7,0.014103761887806966,17190.84964400161,0.336472338,LOCALLY_INFEASIBLE,10
1,60.0,60.0,60.0,0.9633569668195523,1.06,1.013177798267389,0,0,2,0.0010613164593094324,0.17354833002146708,0,0,6.650743780447593,-9.871293149018882,13,0.07976593998485282,17190.84964400161,0.336472338,LOCALLY_INFEASIBLE,10
2,11.0,11.0,11.0,1.0406454678019097,1.06,1.0522997665958602,0,1,3,-0.010656025322851898,0.00027853991275419987,6,0,0.6283797491928018,-0.08603024705568471,7,0.014063037551057297,17162.973856124987,0.386045276,LOCALLY_INFEASIBLE,11
1,60.0,60.0,60.0,0.9633803616626603,1.06,1.0133739426965285,0,0,2,0.0010605473084603489,0.17337462706950274,0,0,6.647828314950635,-9.842053933128689,13,0.0797033304729413,17162.973856124987,0.386045276,LOCALLY_INFEASIBLE,11
2,12.0,12.0,12.0,1.0404079077841006,1.06,1.0522074261726615,0,1,3,-0.011618490555612523,0.00030383795773900046,6,0,0.6621783759186355,-0.08144141146443001,7,0.014028622215627215,17135.501856557385,0.301437962,LOCALLY_INFEASIBLE,12
1,60.0,60.0,60.0,0.9634069815584753,1.06,1.0133264946683278,0,0,2,0.001059673258613828,0.17370311112702985,0,0,6.6445146054339235,-9.892662805913456,13,0.07963219534547258,17135.501856557385,0.301437962,LOCALLY_INFEASIBLE,12
2,13.0,13.0,13.0,1.0401708149926765,1.06,1.052112970633236,0,1,3,-0.012578741183899567,0.0003291358194709715,6,0,0.7165282532613232,-0.07914525915574762,7,0.014000037684460911,17108.724927126343,0.334803166,LOCALLY_INFEASIBLE,13
1,60.0,60.0,60.0,0.963436005331881,1.06,1.0130843278407076,0,0,2,0.0010587205793185692,0.17362070701229115,0,0,6.640901215783107,-9.882999383401433,13,0.07955466779998928,17108.724927126343,0.334803166,LOCALLY_INFEASIBLE,13
2,14.0,14.0,14.0,1.0399352582868941,1.06,1.0520173228570644,0,1,3,-0.01353669319991642,0.00035443333078510886,6,0,0.7708631638690749,-0.08009511879052936,7,0.013976739473539043,17082.860682564948,0.282268814,LOCALLY_INFEASIBLE,14
1,60.0,60.0,60.0,0.9634667109855363,1.06,1.0130397521791925,0,0,2,0.001057713495255436,0.17384411931056976,0,0,6.6370800393921145,-9.909216074359293,13,0.07947272467075708,17082.860682564948,0.282268814,LOCALLY_INFEASIBLE,14
2,15.0,15.0,15.0,1.039702039577761,1.06,1.051921225084873,0,1,3,-0.014492319273755078,0.0003797302142801162,6,0,0.8251946990499944,-0.11305303979185968,7,0.013958163100407761,17058.06301103053,0.773429357,LOCALLY_INFEASIBLE,15
1,60.0,60.0,60.0,0.9634984073994556,1.06,1.0131956509586424,0,0,2,0.0010566737373723946,0.17347475278044833,0,0,6.633132531586615,-9.86391438084213,13,0.07938812673994068,17058.06301103053,0.773429357,LOCALLY_INFEASIBLE,15
2,16.0,16.0,16.0,1.0394717194528893,1.06,1.0518252536833912,0,1,3,-0.015445639354149263,0.0004050261193027649,6,0,0.8795320162294337,-0.1457259395765653,7,0.013943751351573663,17034.43228295755,0.296216923,LOCALLY_INFEASIBLE,16
