bus,vm,va,vmin,vmax
11,1.0421371383755165,-1.3939163221019328,0.94,1.06
7,1.0495054810996698,0.6952496180100395,0.94,1.06
9,1.0415327836610768,-2.4757863190972897,0.94,1.06
10,1.0346045636971657,-2.422029563026165,0.94,1.06
8,1.0550235147961102,9.84917961840701,0.94,1.06
6,1.06,3.406162409811709e-33,0.94,1.06
4,1.057046141883526,-4.067235215422972,0.94,1.06
5,1.0165604910087211,2.250479565976809,0.94,1.06
13,1.0336233322556148,-1.4597033993119353,0.94,1.06
14,1.0140006972417877,-3.384037221305703,0.94,1.06
12,1.0405571166375818,-1.2427170519556276,0.94,1.06
