branch,from_bus,to_bus,X,B,G,Bfr,Bto,p_from,p_to,q_from,q_to,p_loss,q_loss,s_from,s_to,rate_a,ang_deg,angmin,angmax
2,4,9,0.55618,-1.7979790715236075,0.0,0.0,0.0,-0.22946566914876068,0.22946566914723898,0.18271005197680365,-0.14062369285576767,1.5216994331268552e-12,0.04208635912103598,0.2933214216712697,0.26912732360275765,Inf,-7.026991526596898,-60.0001403060998,60.0001403060998
11,10,11,0.19207,-4.402943749460521,1.8808847537003996,0.0,0.0,-0.4575184745985297,0.475993994803957,0.06832761757599826,-0.02507846259577158,0.01847552020542731,0.043249154980226676,0.4625924966129232,0.47665418531215786,Inf,-5.47807434344855,-60.0001403060998,60.0001403060998
7,7,8,0.17615,-5.676979846721544,0.0,0.0,0.0,-1.0000000099854036,1.000000009983882,-0.024545639051788762,0.19984419322510613,1.5216716775512396e-12,0.17529855417331736,1.0003012088202572,1.0197733677310648,Inf,-9.895269302826705,-60.0001403060998,60.0001403060998
9,9,10,0.0845,-10.365394127060915,3.902049552447428,0.0,0.0,-0.31822918175618337,0.32251847459927224,0.16672168376170987,-0.15532761757598965,0.004289292843088877,0.011394066185720225,0.35925747307126343,0.35797323257427266,Inf,-1.9343845332061327,-60.0001403060998,60.0001403060998
10,9,14,0.27038,-3.0290504569306034,1.4240054870199312,0.0,0.0,-0.11042743547198514,0.11396643378744431,0.12023041621393883,-0.11270249264429744,0.003538998315459174,0.007527923569641395,0.16324696471265984,0.16028162676509697,Inf,-2.753098422568934,-60.0001403060998,60.0001403060998
8,7,9,0.11001,-9.09008271975275,0.0,0.0,0.0,0.24330905191678792,-0.24330905191830962,0.22550701493360778,-0.21346589168480454,1.5216994331268552e-12,0.012041123248803243,0.33174193061612306,0.3236772801080968,Inf,1.5634687943923464,-60.0001403060998,60.0001403060998
6,6,13,0.13027,-6.102755448193116,3.0989274038379877,0.0,0.0,0.49737964864167555,-0.4819180421275592,0.12344534139909344,-0.09299661153127492,0.015461606514116377,0.03044872986781852,0.5124697719827536,0.4908088926296657,Inf,3.0164530905592124,-60.0001403060998,60.0001403060998
4,6,11,0.1989,-4.0940743442404415,1.9550285631772604,0.0,0.0,0.5547863377658522,-0.5284939948032789,0.05698099218953955,-0.0019215374042163484,0.026292342962573323,0.0550594547853232,0.5577048628464258,0.5284974880253679,Inf,5.655852751268918,-60.0001403060998,60.0001403060998
3,5,6,0.25202,-3.967939052456154,0.0,0.0,0.0,0.39591891591576633,-0.3959189159169759,0.20268247947046977,-0.16166165444957514,1.209587985329108e-12,0.04102082502089463,0.44478306562212216,0.42765205307615123,Inf,4.898054050549626,-60.0001403060998,60.0001403060998
5,6,12,0.25581,-3.1759639650294003,1.525967440450974,0.0,0.0,0.17575293948898915,-0.17225999125036948,0.032283268797053316,-0.025013469031083715,0.0034929482386196753,0.007269799765969601,0.178693327192828,0.17406659133373742,Inf,2.146339294914348,-60.0001403060998,60.0001403060998
13,13,14,0.34802,-2.314963475105352,1.1369941578063267,0.0,0.0,0.3588263653855443,-0.33746643378670466,0.005787142852699906,0.0377024926443174,0.021359931598839643,0.04348963549701731,0.35887302980050995,0.3395660051953245,Inf,7.298760114795454,-60.0001403060998,60.0001403060998
12,12,13,0.19988,-2.251974626172212,2.4890245868219187,0.0,0.0,0.08075999125099644,-0.07940832325733742,0.0010134690310919456,0.00020946867858842415,0.001351667993659017,0.0012229377096803697,0.08076635008676573,0.07940859953222387,Inf,0.8701137956448642,-60.0001403060998,60.0001403060998
1,4,7,0.20912,-4.781943381790359,0.0,0.0,0.0,-0.7566909580708981,0.7566909580693765,0.32844856264811234,-0.20096137588181903,1.5216716775512396e-12,0.1274871867662933,0.8248997904787373,0.7829218866657546,Inf,-8.590460320989244,-60.0001403060998,60.0001403060998
