bus,vm,va,vmin,vmax
11,1.0334956533767912,-2.2839552237036114,0.94,1.06
7,1.0365983891900898,-1.6337830997896265,0.94,1.06
9,1.025760612990779,-4.589484743740907,0.94,1.06
10,1.020008850389493,-4.188760872145684,0.94,1.06
8,1.0423820786565254,7.748542088676176,0.94,1.06
6,1.06,4.401150430269795e-31,0.94,1.06
4,1.0506252979556867,-7.038946843903354,0.94,1.06
5,1.0204980249397195,-0.5315109490208066,0.94,1.06
13,1.0286870211773134,-1.8360657155621858,0.94,1.06
14,1.0003334209588535,-4.875175254564294,0.94,1.06
12,1.0380415142824577,-1.4808181392985467,0.94,1.06
