bus,vm,va,vmin,vmax
11,1.0488042604316292,-0.7930250971534276,0.94,1.06
7,1.0527247894319485,1.1371464202260366,0.94,1.06
9,1.0509218252853125,-1.2282897823703032,0.94,1.06
10,1.0449575652968148,-1.3044644915489376,0.94,1.06
8,1.0486497853720047,6.818079661261772,0.94,1.06
6,1.06,-3.0885322419455927e-34,0.94,1.06
4,1.046053314242793,-1.047997400194827,0.94,1.06
5,1.0075631393208668,3.553194314376275,0.94,1.06
13,1.04085152240626,-1.0246112627645172,0.94,1.06
14,1.0283935228427463,-2.155492748284597,0.94,1.06
12,1.0454912311817464,-0.9017993377357083,0.94,1.06
