bus,vm,va,vmin,vmax
11,1.0481069571346626,-0.8333435006649011,0.94,1.06
7,1.055217226230196,1.0121857191649473,0.94,1.06
9,1.0509637489483301,-1.2567107741196002,0.94,1.06
10,1.044249598964443,-1.3577224929618779,0.94,1.06
8,1.0512833758147233,4.8768038530013325,0.94,1.06
6,1.06,-1.7439964673870468e-33,0.94,1.06
4,1.0487962747133066,0.7436435089148896,0.94,1.06
5,1.0137477731649547,6.288636958358633,0.94,1.06
13,1.0390316340349528,-1.115310617656859,0.94,1.06
14,1.0257478270384635,-2.3163685785979236,0.94,1.06
12,1.0440480517980528,-0.986084622788848,0.94,1.06
