bus,vm,va,vmin,vmax
11,1.0485353230434293,-0.8211441438143231,0.94,1.06
7,1.053035816876032,0.6095801224795383,0.94,1.06
9,1.050351314955446,-1.2961116093669778,0.94,1.06
10,1.0444677033999124,-1.3603374360821705,0.94,1.06
8,1.0501749809923142,3.2953657824608404,0.94,1.06
6,1.06,8.297983024458439e-33,0.94,1.06
4,1.0406299816996816,1.0391013934478097,0.94,1.06
5,1.010156183006053,5.866230097865175,0.94,1.06
13,1.0407513364490137,-1.0341310410104356,0.94,1.06
14,1.0280153888156347,-2.198675850472012,0.94,1.06
12,1.045458428516724,-0.9069284428557289,0.94,1.06
