bus,vm,va,vmin,vmax
11,1.0040709564800117,-5.709530184704093,0.94,1.06
7,1.0028321654330739,-11.669736755587067,0.94,1.06
9,0.9777828476569326,-13.207074568471967,0.94,1.06
10,0.9742737032832481,-11.246703134110627,0.94,1.06
8,1.0252183805995296,-1.8044742229850816,0.94,1.06
6,1.06,-1.0169213706732735e-18,0.94,1.06
4,1.03134303327135,-20.32317638112951,0.94,1.06
5,1.0259788645869903,5.00636158905601,0.94,1.06
13,1.0150173594202072,-3.0336474841501406,0.94,1.06
14,0.9600656371855358,-10.400694367321965,0.94,1.06
12,1.03249256516075,-2.1554375412051985,0.94,1.06
